File,Type,#Turb,Cap(MW),AEP(GWh),YawGain%,Wake Loss%,CF%,BoP($M),I($M),NPV($M),PI,IRR%,LCOE($/MWh),
BAR_BAU_IEA_3.3MW_14_layout.txt,BAR_BAU_IEA_3.3MW,14,46.2,245.732,1.29,8.87,60.72,18.513,78.573,42.186,1.537,15.79,37.52,3.3
BAR_BAU_IEA_3.3MW_15_layout.txt,BAR_BAU_IEA_3.3MW,15,49.5,265.685,0.58,8.04,61.27,19.168,83.518,47.542,1.569,16.51,37.11,3.3
BAR_BAU_IEA_3.3MW_16_layout.txt,BAR_BAU_IEA_3.3MW,16,52.8,280.67,0.65,8.92,60.68,19.808,88.448,49.508,1.56,16.32,37.2,3.3
BAR_BAU_IEA_3.3MW_17_layout.txt,BAR_BAU_IEA_3.3MW,17,56.1,297.819,0.88,9.04,60.6,20.408,93.338,52.897,1.567,16.48,37.08,3.3
BAR_BAU_IEA_3.3MW_18_layout.txt,BAR_BAU_IEA_3.3MW,18,59.4,312.322,1.03,9.91,60.02,21.092,98.312,54.385,1.553,16.19,37.2,3.3
BAR_BAU_LSP_3.25MW_14_layout.txt,BAR_BAU_LSP_3.25MW,14,45.5,248.144,0.51,7.97,62.26,18.547,77.697,44.896,1.578,16.69,36.98,3.25
BAR_BAU_LSP_3.25MW_15_layout.txt,BAR_BAU_LSP_3.25MW,15,48.75,263.354,0.33,8.84,61.67,19.13,82.505,47.14,1.571,16.56,37.02,3.25
BAR_BAU_LSP_3.25MW_16_layout.txt,BAR_BAU_LSP_3.25MW,16,52,280.317,0.26,9.04,61.54,19.742,87.342,50.57,1.579,16.74,36.9,3.25
BAR_BAU_LSP_3.25MW_17_layout.txt,BAR_BAU_LSP_3.25MW,17,55.25,296.239,0.6,9.53,61.21,20.448,92.273,53.179,1.576,16.69,36.91,3.25
BAR_BAU_LSP_3.25MW_18_layout.txt,BAR_BAU_LSP_3.25MW,18,58.5,310.471,1.15,10.45,60.58,20.99,97.04,54.62,1.563,16.41,37.02,3.25
IEA_3_4MW_14_layout.txt,IEA_3_4MW,14,47.18146895,246.437,0.48,8.61,59.63,18.5,79.836,41.191,1.516,15.32,37.87,3.370104925
IEA_3_4MW_15_layout.txt,IEA_3_4MW,15,50.551573875,267.136,0.65,7.54,60.32,19.104,84.821,47.013,1.554,16.18,37.38,3.370104925
IEA_3_4MW_16_layout.txt,IEA_3_4MW,16,53.9216788,274.193,0.81,11.02,58.05,19.759,89.857,43.377,1.483,14.61,38.22,3.370104925
IEA_3_4MW_17_layout.txt,IEA_3_4MW,17,57.291783725,293.92,0.45,10.23,58.56,20.477,94.956,48.384,1.51,15.21,37.86,3.370104925
